 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -853,898153 -773,411572 -684,799914 -839,997947 -881,816155 -730,326469 -710,200175 -747,762093 -619,220195 -633,355833 -747,4788506 -881,8161552477842 484,0849895319669 432,5141867235035
gBest2 -939,151394 -834,373454 -849,338646 -839,997947 -881,816155 -766,71857 -945,99859 -814,459595 -855,983082 -729,340107 -845,717754 -945,9985902881617 512 400,721143980917
gBest3 -959,4894 -855,943792 -849,338646 -849,101407 -959,583022 -821,160122 -957,398287 -857,467432 -861,361299 -778,220375 -874,9063782000001 -959,5830217687774 512 404,0064606794067
gBest4 -959,4894 -939,037861 -849,338646 -849,101407 -959,609824 -853,309174 -959,634359 -866,797191 -951,898461 -785,85045 -897,4066773 -959,6343589199062 512,0 404,15732135331893
gBest5 -959,556802 -952,561713 -888,134217 -888,18724 -959,609824 -853,309174 -959,634359 -927,47857 -956,773451 -785,85045 -913,10958 -959,6343589199062 512,0 404,15732135331893
gBest6 -959,556802 -952,561713 -959,455849 -888,18724 -959,609824 -853,309174 -959,640097 -953,216475 -959,510277 -785,85045 -923,0897901 -959,6400973602556 512,0 404,2095029325985
gBest7 -959,556802 -954,564867 -959,455849 -888,18724 -959,609824 -853,309174 -959,640097 -953,216475 -959,565288 -785,85045 -923,2956065999999 -959,6400973602556 512,0 404,2095029325985
gBest8 -959,629615 -954,564867 -959,455849 -888,18724 -959,609824 -858,135948 -959,640097 -959,382561 -959,640649 -785,85045 -924,40971 -959,6406488413936 512 404,22831094739513
gBest9 -959,629615 -959,30552 -959,455849 -888,18724 -959,609824 -946,800388 -959,640097 -959,382561 -959,640649 -948,220301 -949,9872044 -959,6406488413936 512 404,22831094739513
gBest10 -959,629615 -959,564399 -959,640658 -888,18724 -959,609824 -946,800388 -959,640097 -959,382561 -959,640649 -948,220301 -950,0315732 -959,640657917779 512,0 404,2297496264692
